Command,@param1,@param2,...
Drive,2.7,,
Turn,-90,,
Drive,17.8125,,
Turn,90,,
Drive,7.425,,
Turn,90,,
Drive,2.85,,
Arm,3,,
Box Push,,,
Arm,0,,
