Command,@param1,@param2,...
Drive,2.7,,
Turn,90,,
Drive,17.55,,
Turn,90,,
Drive,17.55,,
Turn,-90,,
Drive,1.425,,
Arm,3,,
Box Push,,,
Arm,0,,
